ALIAS,REPOLINK,OWNER,REPONAME
geonode,https://github.com/GeoNode/geonode,GeoNode,geonode
geonetwork,https://github.com/geonetwork/core-geonetwork,geonetwork,core-geonetwork
pycsw,https://github.com/geopython/pycsw,geopython,pycsw
marble,https://github.com/KDE/marble,KDE,marble
qgis,https://github.com/qgis/QGIS,qgis,QGIS
grass,https://github.com/GRASS-GIS/grass-ci,GRASS-GIS,grass-ci
postgis,https://github.com/postgis/postgis,postgis,postgis
postgis_java,https://github.com/postgis/postgis-java,postgis,postgis-java
ossim,https://github.com/ossimlabs/ossim,ossimlabs,ossim
geotools,https://github.com/geotools/geotools,geotools,geotools
orfeotoolbox,https://github.com/orfeotoolbox/OTB,orfeotoolbox,OTB
gdal,https://github.com/OSGeo/gdal,OSGeo,gdal
geos,https://github.com/OSGeo/geos,OSGeo,geos
mapserver,https://github.com/mapserver/mapserver,mapserver,mapserver
mapfish,https://github.com/mapfish/mapfish,mapfish,mapfish
deegree3,https://github.com/deegree/deegree3,deegree,deegree3
geomajas_client,https://github.com/geomajas/geomajas-project-client-gwt2,geomajas,geomajas-project-client-gwt2
geomajas_server,https://github.com/geomajas/geomajas-project-server,geomajas,geomajas-project-server
openlayers,https://github.com/openlayers/openlayers,openlayers,openlayers
geomoose,https://github.com/geomoose/gm3,geomoose,gm3
mapbender,https://github.com/mapbender/mapbender,mapbender,mapbender
geoserver,https://github.com/geoserver/geoserver,geoserver,geoserver
mapguide,https://github.com/jumpinjackie/mapguide-maestro,jumpinjackie,mapguide-maestro
gvsig_mobile,https://github.com/gvSIGAssociation/gvsig-mobile,gvSIGAssociation,gvsig-mobile
gvsig_web,https://github.com/gvSIGAssociation/gvsig-web,gvSIGAssociation,gvsig-web
proj,https://github.com/OSGeo/proj.4,OSGeo,proj.4
pgrouting,https://github.com/pgRouting/pgrouting,pgRouting,pgrouting
teamengine,https://github.com/opengeospatial/teamengine,opengeospatial,teamengine
geowebcache,https://github.com/GeoWebCache/geowebcache,GeoWebCache,geowebcache
istsos,https://github.com/istSOS/istsos2,istSOS,istsos2
pywps,https://github.com/geopython/pywps,geopython,pywps
