"","repo","user","nationality","coordinates","x","y"
1,"GRASS-GIS/grass-ci","petrasovaa","Raleigh, USA","(47.4327433, -122.2584342)",-122.2584342,47.4327433
3,"GRASS-GIS/grass-ci","HuidaeCho","Atlanta, GA","(33.7489954, -84.3879824)",-84.3879824,33.7489954
4,"GRASS-GIS/grass-ci","zarch","italy","(41.87194, 12.56738)",12.56738,41.87194
8,"GRASS-GIS/grass-ci","YannChemin","JRC, Ispra, Italy","(45.8102083, 8.624441)",8.624441,45.8102083
10,"GRASS-GIS/grass-ci","landam","Prague, Czech Republic","(50.0755381, 14.4378005)",14.4378005,50.0755381
11,"GRASS-GIS/grass-ci","lucadelu","San Michele all'Adige (TN -Italy)","(46.1878653, 11.1330423)",11.1330423,46.1878653
14,"GeoNode/geonode","dkastl","Kobe && Munich","(48.1357931, 11.5758693)",11.5758693,48.1357931
16,"GeoNode/geonode","rmarianski","New York City","(40.7127753, -74.0059728)",-74.0059728,40.7127753
17,"GeoNode/geonode","george-silva","Uberlândia","(-18.9146078, -48.2753801)",-48.2753801,-18.9146078
20,"GeoNode/geonode","collaer","belgium","(50.503887, 4.469936)",4.469936,50.503887
22,"GeoNode/geonode","francbartoli","Rome, IT","(41.9027835, 12.4963655)",12.4963655,41.9027835
24,"GeoNode/geonode","d3netxer","United States","(37.09024, -95.712891)",-95.712891,37.09024
25,"GeoNode/geonode","smesdaghi","VA, USA","(37.4315734, -78.6568942)",-78.6568942,37.4315734
26,"GeoNode/geonode","GuidoS","Boston, MA","(42.3600825, -71.0588801)",-71.0588801,42.3600825
27,"GeoNode/geonode","tomkralidis","Toronto, Ontario, Canada","(43.653226, -79.3831843)",-79.3831843,43.653226
29,"GeoNode/geonode","simod","Ispra, Italy","(45.8139584, 8.6120782)",8.6120782,45.8139584
30,"GeoNode/geonode","mwengren","Silver Spring, MD","(38.9906657, -77.026088)",-77.026088,38.99066570000001
32,"GeoNode/geonode","BerryDaniel","Austin","(30.267153, -97.7430608)",-97.7430608,30.267153
34,"GeoNode/geonode","ezzine","Cairo, Egypt","(30.0444196, 31.2357116)",31.2357116,30.0444196
37,"GeoNode/geonode","machakux","Tanzania","(-6.369028, 34.888822)",34.888822,-6.369028
39,"GeoNode/geonode","jj0hns0n","Oceanside, California","(33.1958696, -117.3794834)",-117.3794834,33.1958696
42,"GeoNode/geonode","drwelby","Windsor, CO","(40.4774818, -104.9013617)",-104.9013617,40.4774818
44,"GeoNode/geonode","mweisman","Cascadia","(44.3966665, -122.4847651)",-122.4847651,44.3966665
47,"GeoNode/geonode","lucacasagrande","München","(48.1351253, 11.5819805)",11.5819805,48.1351253
49,"GeoNode/geonode","JivanAmara","San Diego","(32.715738, -117.1610838)",-117.1610838,32.715738
51,"GeoNode/geonode","hishamkaram","Egypt","(26.820553, 30.802498)",30.802498,26.820553
53,"GeoNode/geonode","matthewhanson","Dover, NH","(43.1978624, -70.8736698)",-70.8736698,43.1978624
54,"GeoNode/geonode","auvipy","Dhaka, Bangladesh","(23.810332, 90.4125181)",90.4125181,23.810332
55,"GeoNode/geonode","tlpinney","Arlington, VA","(38.8816208, -77.0909809)",-77.09098089999999,38.8816208
57,"GeoNode/geonode","frippe12573","Pisa","(43.7228386, 10.4016888)",10.4016888,43.7228386
58,"GeoNode/geonode","davicustodio","Brasil","(-14.235004, -51.92528)",-51.92528,-14.235004
63,"GeoNode/geonode","milafrerichs","Münster, Germany","(51.9606649, 7.6261347)",7.6261347,51.9606649
68,"GeoNode/geonode","ingenieroariel","Barranquilla, Colombia","(11.0041072, -74.8069813)",-74.80698129999999,11.0041072
69,"GeoNode/geonode","Gpetrak","Heraklion, Greece ","(35.3387352, 25.1442126)",25.1442126,35.3387352
71,"GeoNode/geonode","glarrain","Santiago, Chile","(-33.4488897, -70.6692655)",-70.6692655,-33.4488897
73,"GeoNode/geonode","kalxas","Athens, Greece","(37.9838096, 23.7275388)",23.7275388,37.9838096
74,"GeoNode/geonode","Coop56","Green, Ohio","(40.9458898, -81.4831714)",-81.4831714,40.9458898
75,"GeoNode/geonode","alaw005","New Zealand","(-40.900557, 174.885971)",174.885971,-40.900557
76,"GeoNode/geonode","theduckylittle","Minneapolis, MN, USA","(44.977753, -93.2650108)",-93.2650108,44.977753
78,"GeoNode/geonode","joebocop","Whitehorse, Yukon, Canada","(60.7211871, -135.0568448)",-135.0568448,60.7211871
79,"GeoNode/geonode","groldan","Rosario, Santa Fe, Argentina","(-32.9442426, -60.6505388)",-60.65053880000001,-32.9442426
80,"GeoNode/geonode","Gustry","France, Africa and Asia","(33.8968936, 35.5003204)",35.5003204,33.8968936
82,"GeoNode/geonode","pjdufour","Washington, DC, USA","(38.9071923, -77.0368707)",-77.0368707,38.9071923
83,"GeoNode/geonode","dwilhelm89","Münster","(51.9606649, 7.6261347)",7.6261347,51.9606649
84,"GeoNode/geonode","code-geek","Kathmandu, Nepal","(27.7172453, 85.3239605)",85.3239605,27.7172453
87,"GeoNode/geonode","benjwadams","South Kingstown, RI","(41.4475686, -71.524667)",-71.524667,41.4475686
89,"GeoNode/geonode","davelowe","Argyle, Texas","(33.1212321, -97.1833475)",-97.1833475,33.1212321
91,"GeoNode/geonode","mapplus","Seoul, Korea","(37.566535, 126.9779692)",126.9779692,37.566535
92,"GeoNode/geonode","nastasi-oq","Italy","(41.87194, 12.56738)",12.56738,41.87194
93,"GeoNode/geonode","capooti","Cambridge US","(42.3736158, -71.1097335)",-71.10973349999999,42.3736158
94,"GeoNode/geonode","JorgeMartinezG","Barranquilla, Colombia","(11.0041072, -74.8069813)",-74.80698129999999,11.0041072
95,"GeoNode/geonode","ahmednoureldeen","Cairo, Egypt","(30.0444196, 31.2357116)",31.2357116,30.0444196
96,"GeoNode/geonode","etj","Rome, Italy","(41.9027835, 12.4963655)",12.4963655,41.9027835
98,"GeoNode/geonode","cristianzamar","Formosa, Argentina","(-26.1857768, -58.1755669)",-58.1755669,-26.1857768
100,"GeoNode/geonode","warex03","Manila, Philippines","(14.5995124, 120.9842195)",120.9842195,14.5995124
101,"GeoNode/geonode","ict4eo","Pretoria, South Africa","(-25.7478676, 28.2292712)",28.2292712,-25.7478676
102,"GeoNode/geonode","state-hiu-dev","Washington, DC","(38.9071923, -77.0368707)",-77.0368707,38.9071923
103,"GeoNode/geonode","iwillig","New York City","(40.7127753, -74.0059728)",-74.0059728,40.7127753
105,"GeoNode/geonode","chrisjones-brack3t","Moscow, ID","(46.7323875, -117.000165)",-117.000165,46.73238749999999
106,"GeoNode/geonode","benmccall","St. Louis, MO","(38.6270025, -90.1994042)",-90.19940419999999,38.6270025
107,"GeoNode/geonode","sebastianlach","Cracow, Poland","(50.0646501, 19.9449799)",19.9449799,50.06465009999999
108,"GeoNode/geonode","bartvde","Utrecht, The Netherlands","(52.0907374, 5.1214201)",5.1214201,52.09073739999999
109,"GeoNode/geonode","lukeman","Oakland, CA","(37.8043637, -122.2711137)",-122.2711137,37.8043637
110,"GeoNode/geonode","liyingben","beijing","(39.9041999, 116.4073963)",116.4073963,39.90419989999999
111,"GeoNode/geonode","artists974","Reunion Island","(-21.115141, 55.536384)",55.536384,-21.115141
113,"GeoNode/geonode","garnertb","United States","(37.09024, -95.712891)",-95.712891,37.09024
114,"GeoNode/geonode","mekanix","Europe, Serbia, Vojvodina, Novi Sad","(45.2671352, 19.8335496)",19.8335496,45.2671352
115,"GeoNode/geonode","mpriour","Kerrville, TX, USA","(30.0474332, -99.1403189)",-99.1403189,30.0474332
116,"GeoNode/geonode","mdiener21","Klagenfurt, Austria","(46.6364598, 14.3122246)",14.3122246,46.6364598
117,"GeoNode/geonode","mishravikas","Goa, India","(15.2993265, 74.123996)",74.12399599999999,15.2993265
118,"GeoNode/geonode","batje","Maastricht, The Netherlands","(50.8513682, 5.6909725)",5.6909725,50.8513682
